name,main_category,category,price,min_price,max_price,tatemono_measure,min_tatemono_measure,max_tatemono_measure,tochi_measure,min_tochi_measure,max_tochi_measure,madori,main_madori,min_madori,max_madori,hikiwatashi,kanseijiki,floor,building,prefecture,city,adress,nearest_line,nearest_station,nearest_bus_station,bus_time,walk_time,url,latitude,longitude,year,month,date,chiku_nissu,chiku_nensu
上馬４（駒沢大学駅） 2780万円,中古一戸建て,中古一戸建て,2780万円,2780,2780,49.68m,49.68,49.68,55.84m,55.84,55.84,1LLDDKK,1K/DK/LDK,1LLDDKK,1LLDDKK,相談,1994年1月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区上馬４,東急田園都市線,駒沢大学,,,4,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71596599/,35.6363945,139.6611525,1994,1,1994/1/1 0:00,10672,29
砧３（祖師ヶ谷大蔵駅） 4400万円,中古一戸建て,中古一戸建て,4400万円,4400,4400,39.53m（登記）,39.53,39.53,41.89m（登記）,41.89,41.89,1DK,1K/DK/LDK,1DK,1DK,相談,2012年9月,,軽量鉄骨2階建,東京都,世田谷区（69.7％）,東京都世田谷区砧３,小田急線,祖師ヶ谷大蔵,,,12,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71102768/,35.6363926,139.6126983,2012,9,2012/9/1 0:00,3854,11
若林１（三軒茶屋駅） 4880万円,中古一戸建て,中古一戸建て,4880万円,4880,4880,51.46m（登記）,51.46,51.46,32.2m（実測）,32.2,32.2,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2012年5月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区若林１,東急田園都市線,三軒茶屋,,,9,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_97415991/,35.6449383,139.6624281,2012,5,2012/5/1 0:00,3977,11
代田１（世田谷代田駅） 4980万円,中古一戸建て,中古一戸建て,4980万円,4980,4980,77.61m（23.47坪）,77.61,77.61,77.03m（23.30坪）（登記）、路地状部分：47m含,77.03,77.03,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,1997年11月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区代田１,小田急線,世田谷代田,,,11,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71385301/,35.6529684,139.6624281,1997,11,1997/11/1 0:00,9272,25
北烏山３（千歳烏山駅） 5080万円,中古一戸建て,中古一戸建て,5080万円,5080,5080,66.72m（20.18坪）,66.72,66.72,42.02m（12.71坪）（登記）,42.02,42.02,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2014年9月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区北烏山３,京王線,千歳烏山,,,16,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_70888569/,35.6753361,139.6012282,2014,9,2014/9/1 0:00,3124,9
千歳台３（千歳船橋駅） 5200万円,中古一戸建て,中古一戸建て,5200万円,5200,5200,70.69m,70.69,70.69,43.93m（登記）,43.93,43.93,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2010年12月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区千歳台３,小田急線,千歳船橋,,,18,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_70637811/,35.6523266,139.6152476,2010,12,2010/12/1 0:00,4494,12
上馬２（駒沢大学駅） 5480万円,中古一戸建て,中古一戸建て,5480万円,5480,5480,54.85m（登記）,54.85,54.85,35.55m（登記）,35.55,35.55,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2017年10月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区上馬２,東急田園都市線,駒沢大学,,,8,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71274138/,35.6379334,139.6649795,2017,10,2017/10/1 0:00,1998,5
南烏山１（芦花公園駅） 6480万円,中古一戸建て,中古一戸建て,6480万円,6480,6480,91.7m（27.73坪）,91.7,91.7,78.18m（23.64坪）（登記）、路地状部分：23m含,78.18,78.18,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2011年5月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区南烏山１,京王線,芦花公園,,,5,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71371817/,35.6679832,139.6114238,2011,5,2011/5/1 0:00,4343,12
用賀３（用賀駅） 6480万円,中古一戸建て,中古一戸建て,6480万円,6480,6480,72.11m,72.11,72.11,48.6m,48.6,48.6,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2011年10月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区用賀３,東急田園都市線,用賀,,,7,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71678712/,35.6300878,139.6369204,2011,10,2011/10/1 0:00,4190,11
松原３（下高井戸駅） 6499万円,中古一戸建て,中古一戸建て,6499万円,6499,6499,51.75m（実測）,51.75,51.75,53.42m（実測）,53.42,53.42,1LDK,1K/DK/LDK,1LDK,1LDK,相談,2005年7月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区松原３,京王線,下高井戸,,,7,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71275723/,35.6655983,139.6439339,2005,7,2005/7/1 0:00,6473,18
代田１（下北沢駅） 6590万円,中古一戸建て,中古一戸建て,6590万円,6590,6590,60.68m（18.35坪）（登記）,60.68,60.68,42.71m（12.91坪）（登記）,42.71,42.71,1LDK,1K/DK/LDK,1LDK,1LDK,相談,2020年10月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区代田１,小田急線,下北沢,,,15,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71420854/,35.6529684,139.6624281,2020,10,2020/10/1 0:00,902,2
東玉川１（石川台駅） 6680万円,中古一戸建て,中古一戸建て,6680万円,6680,6680,73.79m（22.32坪）,73.79,73.79,53.32m（16.12坪）,53.32,53.32,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2003年7月,,木造2階地下1階建一部RC,東京都,世田谷区（69.7％）,東京都世田谷区東玉川１,東急池上線,石川台,,,11,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71461456/,35.5971544,139.677738,2003,7,2003/7/1 0:00,7204,20
東玉川１（石川台駅） 6680万円,中古一戸建て,中古一戸建て,6680万円,6680,6680,73.79m（登記）、うち地下室24.13m,73.79,73.79,53.32m（登記）,53.32,53.32,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2003年7月,,木造2階地下1階建一部RC,東京都,世田谷区（69.7％）,東京都世田谷区東玉川１,東急池上線,石川台,,,11,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71655454/,35.5971544,139.677738,2003,7,2003/7/1 0:00,7204,20
東玉川１（雪が谷大塚駅） 6680万円,中古一戸建て,中古一戸建て,6680万円,6680,6680,73.79m、うち地下室24.13m,73.79,73.79,53.32m（登記）,53.32,53.32,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2003年7月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区東玉川１,東急池上線,雪が谷大塚,,,11,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71423117/,35.5971544,139.677738,2003,7,2003/7/1 0:00,7204,20
東玉川１（雪が谷大塚駅） 6680万円,中古一戸建て,中古一戸建て,6680万円,6680,6680,73.79m,73.79,73.79,53.32m,53.32,53.32,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2003年7月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区東玉川１,東急池上線,雪が谷大塚,,,11,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71426975/,35.5971544,139.677738,2003,7,2003/7/1 0:00,7204,20
東玉川１（石川台駅） 6680万円,中古一戸建て,中古一戸建て,6680万円,6680,6680,73.79m（22.32坪）（登記）,73.79,73.79,53.32m（16.12坪）（登記）,53.32,53.32,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2003年7月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区東玉川１,東急池上線,石川台,,,11,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71422419/,35.5971544,139.677738,2003,7,2003/7/1 0:00,7204,20
東玉川１（石川台駅） 6680万円,中古一戸建て,中古一戸建て,6680万円,6680,6680,73.79m（22.32坪）（登記）,73.79,73.79,53.32m（16.12坪）（登記）,53.32,53.32,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2003年7月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区東玉川１,東急池上線,石川台,,,11,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71411473/,35.5971544,139.677738,2003,7,2003/7/1 0:00,7204,20
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（登記）,85.97,85.97,49.12m（登記）,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,木造2階地下1階建一部RC,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71582926/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（26.00坪）（登記）,85.97,85.97,49.12m（14.85坪）（登記）,49.12,49.12,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2012年1月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71413303/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
経堂３（経堂駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,77.59m（登記）,77.59,77.59,50.92m（登記）,50.92,50.92,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2014年12月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区経堂３,小田急線,経堂,,,5,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71690716/,35.652241,139.6292703,2014,12,2014/12/1 0:00,3033,8
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m,85.97,85.97,49.12m,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71397449/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（登記）,85.97,85.97,49.12m（登記）,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,木造2階地下1階建一部RC,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71525513/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m,85.97,85.97,49.12m,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71402315/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（登記）,85.97,85.97,49.12m（登記）,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71479467/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（26.00坪）（登記）,85.97,85.97,49.12m（14.85坪）（登記）,49.12,49.12,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2012年1月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71403925/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（26.00坪）（登記）,85.97,85.97,49.12m（14.85坪）（登記）,49.12,49.12,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2012年1月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71422420/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（実測）,85.97,85.97,49.12m（実測）,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,SRC2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,14,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71587751/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m（登記）,85.97,85.97,49.12m（登記）,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,木造2階地下1階建一部RC,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71402162/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,85.97m、うち地下室27.07m,85.97,85.97,49.12m（登記）,49.12,49.12,1LDK+3S（納戸）,1K/DK/LDK,1LDK+3S,1LDK+3S,相談,2012年1月,,木造2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71398678/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
弦巻５（桜新町駅） 6980万円,中古一戸建て,中古一戸建て,6980万円,6980,6980,49.12m（登記）,49.12,49.12,49.12m（登記）,49.12,49.12,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2012年1月,,木・鉄筋コンクリート2階地下1階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻５,東急田園都市線,桜新町,,,13,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71705327/,35.6368497,139.6394707,2012,1,2012/1/1 0:00,4098,11
世田谷２（上町駅） 7080万円,中古一戸建て,中古一戸建て,7080万円,7080,7080,73.3m（22.17坪）,73.3,73.3,55.74m（16.86坪）（登記）,55.74,55.74,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2009年10月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区世田谷２,東急世田谷線,上町,,,4,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71250568/,35.6418304,139.6432963,2009,10,2009/10/1 0:00,4920,13
祖師谷１（祖師ヶ谷大蔵駅） 7380万円,中古一戸建て,中古一戸建て,7380万円,7380,7380,78.88m（23.86坪）、うち１階車庫28.19m,78.88,78.88,67.22m（20.33坪）（登記）,67.22,67.22,1K+S（納戸）,1K/DK/LDK,1K+S,1K+S,相談,2007年11月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区祖師谷１,小田急線,祖師ヶ谷大蔵,,,6,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71698208/,35.6453695,139.6107865,2007,11,2007/11/1 0:00,5620,15
三軒茶屋２（三軒茶屋駅） 7980万円,中古一戸建て,中古一戸建て,7980万円,7980,7980,60.25m（18.22坪）（登記）,60.25,60.25,46.18m（13.96坪）（登記）,46.18,46.18,1LDK,1K/DK/LDK,1LDK,1LDK,即引渡可,2017年9月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区三軒茶屋２,東急田園都市線,三軒茶屋,,,10,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71516985/,35.6413753,139.6649795,2017,9,2017/9/1 0:00,2028,6
三軒茶屋２（三軒茶屋駅） 7980万円,中古一戸建て,中古一戸建て,7980万円,7980,7980,60.25m（登記）,60.25,60.25,46.18m（登記）,46.18,46.18,1LDK,1K/DK/LDK,1LDK,1LDK,相談,2017年9月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区三軒茶屋２,東急田園都市線,三軒茶屋,,,10,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71414964/,35.6413753,139.6649795,2017,9,2017/9/1 0:00,2028,6
弦巻３（上町駅） 7980万円,中古一戸建て,中古一戸建て,7980万円,7980,7980,74.39m（登記）,74.39,74.39,49.75m（実測）,49.75,49.75,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2018年4月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区弦巻３,東急世田谷線,上町,,,6,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71713390/,35.6371212,139.6458469,2018,4,2018/4/1 0:00,1816,5
経堂３（経堂駅） 8280万円,中古一戸建て,中古一戸建て,8280万円,8280,8280,92.38m（27.94坪）,92.38,92.38,83m（25.10坪）（登記）,83,83,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2014年1月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区経堂３,小田急線,経堂,,,12,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71740300/,35.652241,139.6292703,2014,1,2014/1/1 0:00,3367,9
北沢３（東北沢駅） 8380万円,中古一戸建て,中古一戸建て,8380万円,8380,8380,79.78m（24.13坪）（登記）,79.78,79.78,67.92m（20.54坪）（登記）、路地状部分：23.25m含,67.92,67.92,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,相談,2003年8月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区北沢３,小田急線,東北沢,,,3,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71589733/,35.6652233,139.6700826,2003,8,2003/8/1 0:00,7173,20
豪徳寺１（豪徳寺駅） 8880万円,中古一戸建て,中古一戸建て,8880万円,8880,8880,80.48m（登記）,80.48,80.48,54.54m（登記）,54.54,54.54,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2018年6月,,木造3階建,東京都,世田谷区（69.7％）,東京都世田谷区豪徳寺１,小田急線,豪徳寺,,,2,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_70985069/,35.6530591,139.6483975,2018,6,2018/6/1 0:00,1755,5
桜新町１（桜新町駅） 9380万円,中古一戸建て,中古一戸建て,9380万円,9380,9380,136.08m（登記）、うち地下室51.37m,136.08,136.08,103.08m（登記）,103.08,103.08,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,2023年10月予定,2002年7月,,木造2階地下1階建一部RC,東京都,世田谷区（69.7％）,東京都世田谷区桜新町１,東急田園都市線,桜新町,,,8,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71733124/,35.6292119,139.6432963,2002,7,2002/7/1 0:00,7569,21
駒沢４（駒沢大学駅） 9980万円,中古一戸建て,中古一戸建て,9980万円,9980,9980,74.64m（22.57坪）（登記）,74.64,74.64,80.19m（24.25坪）（登記）,80.19,80.19,1LDK+S（納戸）,1K/DK/LDK,1LDK+S,1LDK+S,即引渡可,2018年6月,,木造2階建,東京都,世田谷区（69.7％）,東京都世田谷区駒沢４,東急田園都市線,駒沢大学,,,12,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71596966/,35.6284101,139.6541369,2018,6,2018/6/1 0:00,1755,5
奥沢７（九品仏駅） 1億1500万円,中古一戸建て,中古一戸建て,1億1500万円,11500,11500,93.35m,93.35,93.35,97.71m（実測）,97.71,97.71,1LDK+2S（納戸）,1K/DK/LDK,1LDK+2S,1LDK+2S,相談,2020年8月,,木造2階建一部木造,東京都,世田谷区（69.7％）,東京都世田谷区奥沢７,東急大井町線,九品仏,,,8,https://suumo.jp/chukoikkodate/tokyo/sc_setagaya/nc_71036199/,35.607707,139.6611525,2020,8,2020/8/1 0:00,963,3
